sample_id,results_dir,bo_a_weak,bo_a_strong_ratio,bo_t_s,bo_t_m_ratio,bo_L_c,bo_L_s_ratio,geo_w_s,geo_t_s,geo_t_m,geo_L_s,geo_L_m,geo_delta,geo_k,geo_a_weak,geo_a_strong,geo_scale,geo_topology,geo_H,geo_L0,geo_N,geo_L_cell,pdrop_time,pdrop_field,pdrop_patch1,pdrop_patch2,pdrop_patch1_average_m2_s2,pdrop_patch2_average_m2_s2,pdrop_pressure_drop_m2_s2,mixing_time,mixing_scalar_field,mixing_patch,mixing_weighting,mixing_mean_mode,mixing_mean_concentration,mixing_standard_deviation,mixing_coefficient_of_variation,mixing_mixing_coefficient,mixing_flux_weighted_mean_concentration,mixing_flux_weighted_standard_deviation,mixing_flux_weighted_coefficient_of_variation,mixing_flux_weighted_mixing_coefficient,mixing_intensity_of_segregation,mixing_flux_weighted_intensity_of_segregation,mixing_relative_standard_deviation,mixing_flux_weighted_relative_standard_deviation,mixing_mixing_index_rsd,mixing_mixing_index_intensity,mixing_max_absolute_relative_deviation,mixing_mean_absolute_relative_deviation,mixing_delta_x_min,mixing_delta_x_max,mixing_delta_x_mean,mixing_delta_x_average,metric_pressure_drop_Pa,metric_flow_rate_m3_s,metric_pumping_power_W,metric_flux_weighted_mixing_index,metric_mass_balance_relative_error,metric_pressure_ratio_to_straight
00000,00000,0.01824650265276432,0.47617613617330784,0.048953020675107838,0.0083069792017339324,1.5601243782788512,0.50357748195528951,0.48175349734723566,0.04895302067510784,0.02509514000454515,1.2229424507419695,1.216933170979179,0.21127400866709647,0.0,0.01824650265276432,0.2295205113198608,0.001,alternating_deflector,1.0,2.0,5,4.0,302,p,inlet,outlet,0.0132087,0,0.0132087,1800,T,outlet,phi,fromInletRatio,0.500818,0.466054,0.932109,0.932109,0.499999,0.447588,0.89518,0.89518,0.868827,0.801342,0.932109,0.895177,0.0678912,0.131173,0.999994,0.909457,7.41681e-06,1.52583e-05,1.23362e-05,1.23362e-05,13.18492434,1.020077087e-10,1.3449639213062598e-09,0.10482292254548875,2.058823528699561e-07,4.588154380017159
00001,00001,0.071561464145779602,0.7913619717583058,0.14937116432003675,0.60559425409883261,1.0598144676536319,0.038676318712531833,0.4284385358542204,0.14937116432003675,0.09274853431156058,1.1657047269884797,1.7744808053578882,0.23045178935863073,0.0,0.0715614641457796,0.30201325350441033,0.001,alternating_deflector,1.0,2.0,5,4.0,285,p,inlet,outlet,0.0212906,0,0.0212906,1800,T,outlet,phi,fromInletRatio,0.500922,0.462597,0.925193,0.925193,0.499999,0.442418,0.884837,0.884837,0.855983,0.782934,0.925193,0.884835,0.0748067,0.144017,0.999937,0.901234,7.46405e-06,1.51402e-05,1.22848e-05,1.22848e-05,21.25227692,1.0200775669999999e-10,2.1678970933763854e-09,0.1151644220534529,2.6470588231567757e-07,7.395471139718014
00002,00002,0.11380472224205732,0.24832573533058161,0.075345401419326663,0.46581164188683039,0.50042378865182391,0.43303376995027087,0.3861952777579427,0.07534540141932666,0.042628828573002736,1.7430631031407646,1.7565131082074115,0.08872033661762882,0.0,0.11380472224205732,0.20252505885968614,0.001,alternating_deflector,1.0,2.0,5,4.0,238,p,inlet,outlet,0.0136515,0,0.0136515,1800,T,outlet,phi,fromInletRatio,0.500135,0.47456,0.949119,0.949119,0.500005,0.460741,0.921473,0.921473,0.900828,0.849129,0.949119,0.921482,0.0508806,0.0991724,1,0.932656,7.26148e-06,1.51868e-05,1.23268e-05,1.23268e-05,13.6269273,1.020077484e-10,1.3900521714834913e-09,0.07851804141372365,1.8333333334413073e-07,4.741964729216671
00003,00003,0.035887879841029639,0.55032884143292893,0.11911191078834235,0.93004136718809627,2.000115718320012,0.90563260670751344,0.46411212015897035,0.11911191078834235,0.10090245308842286,1.162148244399209,0.837736037280779,0.210687753688544,0.0,0.03588787984102964,0.24657563352957365,0.001,alternating_deflector,1.0,2.0,5,4.0,298,p,inlet,outlet,0.0164986,0,0.0164986,1800,T,outlet,phi,fromInletRatio,0.501205,0.463515,0.927029,0.927029,0.500002,0.443706,0.88741,0.88741,0.859384,0.787502,0.927029,0.887413,0.0729706,0.140616,0.99998,0.902754,7.47073e-06,1.51456e-05,1.23423e-05,1.23423e-05,16.46890252,1.020077082e-10,1.6799550026344045e-09,0.11258690566343343,2.107843137521341e-07,5.730929149284267
00004,00004,0.051399177052080629,0.050836766138672794,0.13389525850303471,0.78072412870824348,2.203375950083136,0.68879256397485566,0.44860082294791936,0.13389525850303471,0.10025810420638767,0.9354331834813567,0.8611908664355068,0.0802932791598141,0.0,0.05139917705208063,0.13169245621189474,0.001,alternating_deflector,1.0,2.0,5,4.0,243,p,inlet,outlet,0.0111358,0,0.0111358,1800,T,outlet,phi,fromInletRatio,0.500169,0.469091,0.938183,0.938183,0.499997,0.45225,0.904506,0.904506,0.880187,0.818119,0.938183,0.904499,0.0618174,0.119813,1,0.917171,7.41856e-06,1.51943e-05,1.23726e-05,1.23726e-05,11.11575556,1.020077215e-10,1.1338928974265565e-09,0.09550069098976088,8.039215684579633e-08,3.868114920090174
00005,00005,0.099319738782942285,0.74395347759127617,0.060991349043324587,0.37093873135745525,0.70368776805698863,0.22400578204542398,0.4006802612170577,0.06099134904332459,0.03371385121200599,1.5643400479242464,1.731972184018765,0.19673631299226854,0.0,0.09931973878294229,0.2960560517752108,0.001,alternating_deflector,1.0,2.0,5,4.0,288,p,inlet,outlet,0.0154244,0,0.0154244,1800,T,outlet,phi,fromInletRatio,0.500647,0.468209,0.936418,0.936418,0.50001,0.450927,0.901836,0.901836,0.876878,0.81334,0.936418,0.901854,0.0635824,0.123122,0.999994,0.915413,7.29526e-06,1.42309e-05,1.23254e-05,1.23254e-05,15.39663608,1.020077057e-10,1.5705755220186417e-09,0.09814635333664035,2.352941176561732e-07,5.3577966354854505
00006,00006,0.086959113925695414,0.29478884022682905,0.10706020181067288,0.69828034471720457,1.3878347534686326,0.36873701401054865,0.41304088607430456,0.10706020181067288,0.07357252169895498,1.1764164838612374,1.43574876267013,0.10574996412900856,0.0,0.08695911392569541,0.19270907805470397,0.001,alternating_deflector,1.0,2.0,5,4.0,244,p,inlet,outlet,0.0129021,0,0.0129021,1800,T,outlet,phi,fromInletRatio,0.500184,0.470168,0.940336,0.940336,0.500007,0.453938,0.907865,0.907865,0.884233,0.82424,0.940336,0.907877,0.0596636,0.115767,0.999999,0.920417,7.43717e-06,1.49248e-05,1.23173e-05,1.23173e-05,12.87887622,1.020076974e-10,1.3137445083018159e-09,0.09212335639691671,3.1666666662772004e-07,4.481654260178472
00007,00007,0.0036407764256000518,0.96886201668530714,0.090834742756560449,0.17155255656689403,1.8881409164518117,0.84145023208111502,0.49635922357439993,0.09083474275656045,0.03414971147372558,1.2307039446444499,0.8811551389037384,0.33919748741202055,0.0,0.003640776425600052,0.3428382638376206,0.001,alternating_deflector,1.0,2.0,5,4.0,310,p,inlet,outlet,0.034121,0,0.034121,1800,T,outlet,phi,fromInletRatio,0.50225,0.443808,0.887615,0.887615,0.499945,0.415122,0.830336,0.830336,0.787861,0.689305,0.887615,0.830244,0.112385,0.212139,0.998154,0.856377,7.23838e-06,1.42231e-05,1.23172e-05,1.23172e-05,34.0595822,1.020077938e-10,3.4743428379717507e-09,0.16975605994382592,6.284313726266875e-07,11.852219794572175
00008,00008,0.011773462928831576,0.17845509666949508,0.095967915374785662,0.25540430750697851,0.97832440733909598,0.96472660545259703,0.4882265370711684,0.09596791537478566,0.039932957437673756,1.779600535003535,1.242075057657369,0.14927120930515228,0.0,0.011773462928831576,0.16104467223398386,0.001,alternating_deflector,1.0,2.0,5,4.0,284,p,inlet,outlet,0.0133861,0,0.0133861,1800,T,outlet,phi,fromInletRatio,0.500421,0.471182,0.942364,0.942364,0.500006,0.455482,0.910953,0.910953,0.88805,0.829855,0.942364,0.910964,0.057636,0.11195,0.999999,0.923177,7.6323e-06,1.42802e-05,1.23038e-05,1.23038e-05,13.36200502,1.020077071e-10,1.3630274943488896e-09,0.08903622464995897,2.2156862738881516e-07,4.649775780080378
00009,00009,0.078447856642305844,0.62059241067618132,0.084741207454353568,0.84488602634519361,1.4785122551023959,0.49982585757970793,0.42155214335769414,0.08474120745435357,0.06491343604585773,1.260583402342636,1.260904342554968,0.18428839781321582,0.0,0.07844785664230584,0.2627362544555217,0.001,alternating_deflector,1.0,2.0,5,4.0,283,p,inlet,outlet,0.0146539,0,0.0146539,1800,T,outlet,phi,fromInletRatio,0.500635,0.466435,0.93287,0.93287,0.499997,0.448181,0.896368,0.896368,0.870246,0.803465,0.93287,0.896362,0.0671301,0.129754,0.999994,0.910464,7.42826e-06,1.44743e-05,1.23295e-05,1.23295e-05,14.62752298,1.020077012e-10,1.4921199934399734e-09,0.10363790798584083,2.7941176470878614e-07,5.090156901839958
00010,00010,0.096197046786546697,0.42132287099957466,0.12457544611766933,0.20503451116383078,2.0455940790474414,0.096823426894843564,0.4038029532134533,0.12457544611766933,0.042853471529108816,0.8343147957784498,1.1200911251741088,0.13008007407607988,0.0,0.0961970467865467,0.22627712086262658,0.001,alternating_deflector,1.0,2.0,5,4.0,267,p,inlet,outlet,0.0123446,0,0.0123446,1800,T,outlet,phi,fromInletRatio,0.500317,0.466565,0.933129,0.933129,0.500003,0.448361,0.896718,0.896718,0.870731,0.804112,0.933129,0.896723,0.0668706,0.129269,0.999998,0.91053,7.32406e-06,1.46886e-05,1.23241e-05,1.23241e-05,12.32237972,1.02007693e-10,1.256977527507186e-09,0.10327707735332203,3.5980392155458245e-07,4.288001889630307
00011,00011,0.054139636605978009,0.84637162275612343,0.060000339690595865,0.67708552815020095,0.5457800716161727,0.56942267902195476,0.445860363394022,0.060000339690595865,0.04023465438296603,1.7372304073115208,1.7169895210723065,0.2605258366279304,0.0,0.05413963660597801,0.31466547323390837,0.001,alternating_deflector,1.0,2.0,5,4.0,306,p,inlet,outlet,0.0190976,0,0.0190976,1800,T,outlet,phi,fromInletRatio,0.501219,0.465827,0.931654,0.931654,0.500001,0.447326,0.89465,0.89465,0.86798,0.800404,0.931654,0.894653,0.0683457,0.13202,0.999963,0.909643,7.48285e-06,1.42828e-05,1.23134e-05,1.23134e-05,19.06322432,1.020077001e-10,1.9445956693735865e-09,0.10534699463982122,2.901960783454672e-07,6.6337139224765265
